bucket	category	project	page_uid	page_title	content_uid	ident	dam_uid	source	target	sha256	bytes	exists	proposed_new_category
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	617	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/Kvu2.jpg	live/murals/murals-europe/Kvu2.jpg	cff5cac98dcf642bac0c47b537f7eeef732939a4ff0ff942e712be043d94b2ea	3161538	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	616	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/KoepiBerlin.jpg	live/murals/murals-europe/KoepiBerlin.jpg	ff6629dc035c4551b5f4ecfd5eb3702310dbf7ac018972bb5e1de580a81d8871	408264	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	618	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/ZelenyDvor.jpg	live/murals/murals-europe/ZelenyDvor.jpg	71f47b4ff219c63a460a70f8a989f4c5bc027ff4e15a041e2977207fc7d697ca	3511328	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	615	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/KavkovaPrag.jpg	live/murals/murals-europe/KavkovaPrag.jpg	f667edeb95d0d7a23d16dfdcac48cc9eb6b29f87134ac351b6f3bcec58c92132	634190	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	614	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/arenaWien.jpg	live/murals/murals-europe/arenaWien.jpg	e0c89d67cf5e71e9225a5cd38635a6d01c9c39e8a787e55ee63d50b3a1a83965	537584	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	610	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/Ladronka2.jpg	live/murals/murals-europe/Ladronka2.jpg	9278edc9c00c0cf446dc9500f17ea351c2f55b20f722c36007acfe5282d38b57	785362	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	609	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/Ladronka.jpg	live/murals/murals-europe/Ladronka.jpg	8a9c783dbcd1d623725f0eca0a4da8219b15d74c6cdf0d19aca1dad7d2f64ea0	1177617	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	613	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/KavkovaPrag2.jpg	live/murals/murals-europe/KavkovaPrag2.jpg	c9e3214cf5e7ab8995a18a8896cb7bab77f350f1e4bc8da49a917ae614dcc353	237148	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	612	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/KvuBerlin.jpg	live/murals/murals-europe/KvuBerlin.jpg	d47538a7d49f7175d1b5ef0eac44d8d838112875ca30e009cbb8c423d03c2acd	442397	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	611	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/KleineaHaifischBarBerlin.jpg	live/murals/murals-europe/KleineaHaifischBarBerlin.jpg	03a12c7d0295abf287d2a9e97da2fe06e30ffe1388960dfd89b4d2fe71080903	471961	True	paintings
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	607	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/blaueAanslagDenHaag.jpg	live/murals/murals-europe/blaueAanslagDenHaag.jpg	b06a0e6f3b62251e70501176480b0353bd5598dd6d5c9dedc07b37cf32927375	612328	True	paintings
