sha256	copies	bytes_each	wasted_bytes	source	locations
a51012210e16524f078472f812a0695309681ce6060e55a44f335030e91a06a0	4	288744	866232	fileadmin/s-maj/images/BilderMaja/2022_Affenbande/P1040416_2.jpg	hidden/sculptural-work/affenbande/P1040416_2.jpg | hidden/sculptural-work/hinwil/P1040416_2.jpg | deleted/sculptural-work/sennhof/P1040416_2.jpg | hidden/sculptural-work/hafenszene/P1040416_2.jpg
6eb75ecf03233ab3ddb81576f952ac30d3ac56bb3cc3bc16830f378b01634b7d	4	283819	851457	fileadmin/s-maj/images/BilderMaja/1996EurokonXiX/nailedliegend.jpg	hidden/sculptural-work/xix/nailedliegend.jpg | live/event-organisation/eurokon/nailedliegend.jpg | live/sculptural-work/nailed-tanks/nailedliegend.jpg | hidden/collaborations/metal-group-xix/nailedliegend.jpg
591547be4e06e39969de1e62fd37576a8563f339c86d801f8e66983d7d913c28	4	236774	710322	fileadmin/s-maj/images/BilderMaja/1995EurokotXiX/eurokot15.jpg	hidden/sculptural-work/xix/eurokot15.jpg | live/event-organisation/eurokot/eurokot15.jpg | live/sculptural-work/iron-channel/eurokot15.jpg | hidden/collaborations/metal-group-xix/eurokot15.jpg
0af21a8033dcf32165bb4cb0550c1de1756b4272bf522bd78af53dfe3cafba70	4	227713	683139	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-27.jpg	hidden/sculptural-work/affenbande/affe_s_-27.jpg | hidden/sculptural-work/hinwil/affe_s_-27.jpg | deleted/sculptural-work/sennhof/affe_s_-27.jpg | hidden/sculptural-work/hafenszene/affe_s_-27.jpg
e6e02913d44415ff347bd4121377117ccbef855b58ac82f28321f3989aed0292	4	200542	601626	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-26.JPG	hidden/sculptural-work/affenbande/affe_s_-26.JPG | hidden/sculptural-work/hinwil/affe_s_-26.JPG | deleted/sculptural-work/sennhof/affe_s_-26.JPG | hidden/sculptural-work/hafenszene/affe_s_-26.JPG
145c2bad2b44a5dcdd43ac0d9440e63a4acb36252601ec56983a45419e22ad75	4	193021	579063	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-25.JPG	hidden/sculptural-work/affenbande/affe_s_-25.JPG | hidden/sculptural-work/hinwil/affe_s_-25.JPG | deleted/sculptural-work/sennhof/affe_s_-25.JPG | hidden/sculptural-work/hafenszene/affe_s_-25.JPG
f09a3daccc13c3024ca42e7e35dbd3d1b493bab251a0bd23c29f1b20c93a9824	4	191251	573753	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-34.jpg	hidden/sculptural-work/affenbande/affe_s_-34.jpg | hidden/sculptural-work/hinwil/affe_s_-34.jpg | deleted/sculptural-work/sennhof/affe_s_-34.jpg | hidden/sculptural-work/hafenszene/affe_s_-34.jpg
6c4d3c690c5e4dc039b8305692c51480f44d45fd47bb49b98cab8ff9d128d58d	4	187547	562641	fileadmin/s-maj/images/BilderMaja/1995EurokotXiX/eurokot38.jpg	hidden/sculptural-work/xix/eurokot38.jpg | live/event-organisation/eurokot/eurokot38.jpg | live/sculptural-work/iron-channel/eurokot38.jpg | hidden/collaborations/metal-group-xix/eurokot38.jpg
010e425280853adab7cc03dfd6025f67dc6708e556efac13d3fae9a386391289	4	180113	540339	fileadmin/s-maj/images/BilderMaja/1996EurokonAllg/NovoExpo.jpg	live/event-organisation/eurokon/NovoExpo.jpg | hidden/sculptural-work/xix/NovoExpo.jpg | live/sculptural-work/eagle/NovoExpo.jpg | hidden/collaborations/metal-group-xix/NovoExpo.jpg
b48f9af80c241039b2e1a01b0b189f574edf1f177bed2acf10b2b8e2be168b1d	4	178441	535323	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-29.JPG	hidden/sculptural-work/affenbande/affe_s_-29.JPG | hidden/sculptural-work/hinwil/affe_s_-29.JPG | deleted/sculptural-work/sennhof/affe_s_-29.JPG | hidden/sculptural-work/hafenszene/affe_s_-29.JPG
79d3ce2e929d10ead91d9c8aae23246c6a45ba82265fd3d52c5441ebe7eb0028	4	177168	531504	fileadmin/s-maj/images/BilderMaja/1996EurokonXiX/nailedtank.jpg	hidden/sculptural-work/xix/nailedtank.jpg | live/event-organisation/eurokon/nailedtank.jpg | live/sculptural-work/nailed-tanks/nailedtank.jpg | hidden/collaborations/metal-group-xix/nailedtank.jpg
267c56e82fc73f2a297d330e21aba7c7c3c2bf14b4da31f444105fc23d87e528	4	166862	500586	fileadmin/s-maj/images/BilderMaja/1996EurokonXiX/nailedTanks2org.jpg	live/event-organisation/eurokon/nailedTanks2org.jpg | hidden/sculptural-work/xix/nailedTanks2org.jpg | live/sculptural-work/nailed-tanks/nailedTanks2org.jpg | hidden/collaborations/metal-group-xix/nailedTanks2org.jpg
d9772813d64ad56dd3f30730c88c97997bab03f82d32a02fc70aee705779f9d0	4	161390	484170	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-3.JPG	hidden/sculptural-work/affenbande/affe_s_-3.JPG | hidden/sculptural-work/hinwil/affe_s_-3.JPG | deleted/sculptural-work/sennhof/affe_s_-3.JPG | hidden/sculptural-work/hafenszene/affe_s_-3.JPG
6a973c86713630a1084fcae95fe20465f9b75d229d1add9deecf04bc4dfadd92	4	158315	474945	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-28.JPG	hidden/sculptural-work/affenbande/affe_s_-28.JPG | hidden/sculptural-work/hinwil/affe_s_-28.JPG | deleted/sculptural-work/sennhof/affe_s_-28.JPG | hidden/sculptural-work/hafenszene/affe_s_-28.JPG
221cc3e85507ca61c8284c15a250df2c01d4030789b2edfe91fdca87cc02245e	4	143531	430593	fileadmin/s-maj/images/BilderMaja/1995EurokotXiX/eurokot4.jpg	hidden/sculptural-work/xix/eurokot4.jpg | live/event-organisation/eurokot/eurokot4.jpg | live/sculptural-work/iron-channel/eurokot4.jpg | hidden/collaborations/metal-group-xix/eurokot4.jpg
2e6ae73ac55ff92a21879ee2c7d1d8051da99ad68bc24c429f5059ca3da4a727	4	131756	395268	fileadmin/s-maj/images/BilderMaja/1995EurokotXiX/eurokot5.jpg	live/event-organisation/eurokot/eurokot5.jpg | hidden/sculptural-work/xix/eurokot5.jpg | live/sculptural-work/iron-channel/eurokot5.jpg | hidden/collaborations/metal-group-xix/eurokot5.jpg
1de10de408f812437324501827286cabbb30e360c4c110ec4ce47ff959991a75	4	130063	390189	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-2.jpg	hidden/sculptural-work/hinwil/affe_s_-2.jpg | hidden/sculptural-work/affenbande/affe_s_-2.jpg | deleted/sculptural-work/sennhof/affe_s_-2.jpg | hidden/sculptural-work/hafenszene/affe_s_-2.jpg
f97ec352edbc605f6545ae8576f52a38fdb81a80bc00cf3ac25bc9b2a0b7ce47	4	125381	376143	fileadmin/s-maj/images/BilderMaja/1996EurokonXiX/1Eagle.jpg	live/event-organisation/eurokon/1Eagle.jpg | hidden/sculptural-work/xix/1Eagle.jpg | live/sculptural-work/eagle/1Eagle.jpg | hidden/collaborations/metal-group-xix/1Eagle.jpg
8454e129c7fe74c5b3b7ef662d5f4bec6a416078ece1120a45097a9636d1215f	4	108327	324981	fileadmin/s-maj/images/BilderMaja/1995EurokotXiX/eisen4.jpg	live/event-organisation/eurokot/eisen4.jpg | hidden/sculptural-work/xix/eisen4.jpg | live/sculptural-work/iron-channel/eisen4.jpg | hidden/collaborations/metal-group-xix/eisen4.jpg
965cce1f8bf1015adddc3b0e9a23e692affa720e59a4ff6f0906667f2cf7f924	3	1017615	2035230	fileadmin/s-maj/images/BilderMaja/1997Xix/sennhofbar1.jpg	hidden/sculptural-work/xix/sennhofbar1.jpg | live/sculptural-work/17-ton-bar/sennhofbar1.jpg | hidden/collaborations/metal-group-xix/sennhofbar1.jpg
c070358abeb386057ea88cfd54c9dfe834de001cf8f11f309df0cf6a801f0c3b	3	583326	1166652	fileadmin/s-maj/images/BilderMaja/1995EurokotXiX/eisen3.jpg	hidden/sculptural-work/xix/eisen3.jpg | live/sculptural-work/iron-channel/eisen3.jpg | hidden/collaborations/metal-group-xix/eisen3.jpg
dd082f1c4913e7e30658d07c65750ea0cbdce336ba90f3585bd050135e68a10d	3	508388	1016776	fileadmin/s-maj/images/BilderMaja/1997Xix/sennhofbartotale.jpg	hidden/sculptural-work/xix/sennhofbartotale.jpg | live/sculptural-work/17-ton-bar/sennhofbartotale.jpg | hidden/collaborations/metal-group-xix/sennhofbartotale.jpg
abc6472c85b43b27f6e95a6967438b46253183c3e2f32014e96a263187246b62	3	296363	592726	fileadmin/s-maj/images/BilderMaja/1996EurokonXiX/adler1.jpg	hidden/sculptural-work/xix/adler1.jpg | live/sculptural-work/eagle/adler1.jpg | hidden/collaborations/metal-group-xix/adler1.jpg
9e663fa5507576a92f9bc3f9b9ae0f9acff1785859d508fa79c3befd1deb97ed	3	258232	516464	fileadmin/s-maj/images/BilderMaja/1997Xix/zoom2.jpg	hidden/sculptural-work/xix/zoom2.jpg | live/sculptural-work/17-ton-bar/zoom2.jpg | hidden/collaborations/metal-group-xix/zoom2.jpg
e8e3b011bcdb8a969d788108fb182dc8d27340736ca14a832f554efe0b9f8949	3	248063	496126	fileadmin/s-maj/images/BilderMaja/1997Xix/zoom10.jpg	hidden/sculptural-work/xix/zoom10.jpg | live/sculptural-work/17-ton-bar/zoom10.jpg | hidden/collaborations/metal-group-xix/zoom10.jpg
2971790ed43de55f3f197b05523fca3625b0d6f24280ea2a6230e730a94dd2ce	3	238244	476488	fileadmin/s-maj/images/BilderMaja/1997Xix/zoom4.jpg	hidden/sculptural-work/xix/zoom4.jpg | live/sculptural-work/17-ton-bar/zoom4.jpg | hidden/collaborations/metal-group-xix/zoom4.jpg
6d3029be12d0001e4a869911226939e2e518cf467089cd5e75689b8a08884580	3	230009	460018	fileadmin/s-maj/images/BilderMaja/1997Xix/zoom3.jpg	hidden/sculptural-work/xix/zoom3.jpg | live/sculptural-work/17-ton-bar/zoom3.jpg | hidden/collaborations/metal-group-xix/zoom3.jpg
f788b5a7a7906924fdbe4e281795a21f998555112a1cba552b3397424c5c9bdd	3	224746	449492	fileadmin/s-maj/images/BilderMaja/1997Xix/zoom7.jpg	hidden/sculptural-work/xix/zoom7.jpg | live/sculptural-work/17-ton-bar/zoom7.jpg | hidden/collaborations/metal-group-xix/zoom7.jpg
f2451a332a2e59fa2a92aa8fd944d18fe0ab1ba82362d35af58855de2e4f0563	3	219787	439574	fileadmin/s-maj/images/BilderMaja/1997Xix/zoom6.jpg	hidden/sculptural-work/xix/zoom6.jpg | live/sculptural-work/17-ton-bar/zoom6.jpg | hidden/collaborations/metal-group-xix/zoom6.jpg
817834361543e19968334277510ea1f1c803babedfdc753b30c83546f565e75b	3	210326	420652	fileadmin/s-maj/images/BilderMaja/1996EurokonXiX/4torso.jpg	hidden/sculptural-work/xix/4torso.jpg | live/sculptural-work/torso/4torso.jpg | hidden/collaborations/metal-group-xix/4torso.jpg
9e36663a471868b6eb57c650aa0de6166eebf21a2f89e3d3e7c65fb4e15a31b6	3	198184	396368	fileadmin/s-maj/images/BilderMaja/1997Xix/zoom5.jpg	hidden/sculptural-work/xix/zoom5.jpg | live/sculptural-work/17-ton-bar/zoom5.jpg | hidden/collaborations/metal-group-xix/zoom5.jpg
b272ad91c8cc93755c35ab8a9ec10e23d48661e16493b1e7c1215b07517a8a4f	3	196638	393276	fileadmin/s-maj/images/BilderMaja/1995EurokotXiX/eurokot8.jpg	hidden/sculptural-work/xix/eurokot8.jpg | live/sculptural-work/iron-channel/eurokot8.jpg | hidden/collaborations/metal-group-xix/eurokot8.jpg
77155e6b863e141b530f93062edebda55163d3704c93b5e607606948955a4055	3	189440	378880	fileadmin/s-maj/images/BilderMaja/1996EurokonXiX/novo2.jpg	hidden/sculptural-work/xix/novo2.jpg | live/sculptural-work/eagle/novo2.jpg | hidden/collaborations/metal-group-xix/novo2.jpg
